"Metaphor Preservation in Machine Translation and Paraphrasing","Are metaphors preserved under translation or do they disappear in translation shifts?","2023","https://vilda.net/papers/metaphor_preservation.pdf"
"Ryanize bib","Tool to check for common BibTeX best practice violations","2023","https://vilda.net/s/ryanize-bib"
"Poetry, Songs, Literature, Legalese and Translationese","Essay on automated sentence complexity perspective","2023","https://vilda.net/papers/automated_sentence_complexity_perspective.pdf"
"Stolen Subwords","Report on importance of vocabularies for machine translation model stealing","2023","https://vilda.net/papers/stolen_subwords.pdf"
"Multimodal Shannon Game with Images","With Sunit Bhattacharya, Ondřej Bojar","Preprint 2022","https://arxiv.org/abs/2303.11192"
"Bilingual scientific abstracts corpus","Bilingual Czech and English abstracts of ÚFAL papers. With Rudolf Rosa.","2022","https://lindat.mff.cuni.cz/repository/xmlui/handle/11234/1-4922"
"Stroop Effect in Multi-Modal Sight Translation","With Sunit Bhattacharya, Věra Kloudová, Ondřej Bojar","Preprint 2022","https://psyarxiv.com/5qdgr"
"Machine Translate","Open resources and community for machine translation (contributor)","2022","https://machinetranslate.org/"
"Random Strum Pattern Generator","Little tool to generate practice guitar strum patterns.","2022","https://vilda.net/s/rsp/"
"Fusing Sentence Embeddings Into LSTM-based Autoregressive Language Models","With Marius Mosbach, Dietrich Klakow","Preprint 2021","https://arxiv.org/abs/2208.02402"
"EMMT: An eye-tracking, EEG and audio corpus for multi-modal reading and translation","With Sunit Bhattacharya, Věra Kloudová, Ondřej Bojar","Preprint 2021","https://arxiv.org/pdf/2204.02905.pdf"
"Deep Molecule QSPR","Predicting key temperature points (e.g. boiling point) of molecules. With Nikola Kalábová.","2021","https://github.com/zouharvi/deep-molecule-qspr"
"Statistical Natural Language Processing Tutorials","Vilém Zouhar, Awantee Deshpande, Julius Steuer","Teaching material 2021","https://github.com/zouharvi/uds-snlp-tutorial"
"Fact Learning with Adaptive Color Palette: Effect of Stimuli-Independent Hints","Enhancing fact learning with colors. With Leander van Boven, Tianyi Li and Anjali Nair.","2021","https://github.com/zouharvi/user-models"
"Hyperparameters of RNN Architectures for POS Tagging using Surface-Level BERT Embeddings","","2020","https://github.com/zouharvi/rnn-bert-pos"
"SlowAlign","IBM model-based word aligned with extra features and heuristics.","2020","https://github.com/zouharvi/SlowAlign"
"Slow Align Displayer","Creates quick graphs given word alignment.","2020","https://vilda.net/s/slowalign/"
"MosQEto","Synthetising machine translation quality estimation data. With Ondřej Měkota.","2019","https://github.com/zouharvi/MosQEto"
"Dorfromantik solver","A tool to help with a small game.s","2023","https://vilda.net/s/dorfromantik-solver"
"Call for Menza","Aggregator of daily menus around Charles University. Unmaintained since I moved out of Prague.","2019","https://github.com/zouharvi/cfm"
"SMAKE","Simple Markable And Keyword Extraction. With Petr Houška.","2019","https://github.com/zouharvi/SMAKE"
"TNTranslator","Translation inspector for n-best list navigator.","2019","https://github.com/zouharvi/TNTranslator"
"A Collection of Machine Learning Excercises","Martin Holub, Barbora Vidová Hladká, Vilém Zouhar","Teaching material 2018","http://ufal.mff.cuni.cz/courses/npfl054"
"ZimaDB","SQLite-like database implementation from scratch. With Petr Chmel.","2018","https://github.com/zouharvi/ZimaDB"
"ASM Hell","Learn basic assembly instructions through a game (LD41 submission).","2017","https://github.com/zouharvi/asm-hell"
"Prolog KNN","Implementation of kNN in Prolog, a language the least suited for this.","2017","https://github.com/zouharvi/prolog-knn"
